Column,Missing_Count,Missing_Percentage,Data_Type
member_id,1924435,100.0,float64
orig_projected_additional_accrued_interest,1917815,99.65600293073031,float64
hardship_payoff_balance_amount,1916144,99.56917225055666,float64
hardship_last_payment_amount,1916144,99.56917225055666,float64
payment_plan_start_date,1916144,99.56917225055666,object
hardship_type,1916144,99.56917225055666,object
hardship_status,1916144,99.56917225055666,object
hardship_start_date,1916144,99.56917225055666,object
deferral_term,1916144,99.56917225055666,float64
hardship_amount,1916144,99.56917225055666,float64
hardship_dpd,1916144,99.56917225055666,float64
hardship_loan_status,1916144,99.56917225055666,object
hardship_length,1916144,99.56917225055666,float64
hardship_end_date,1916144,99.56917225055666,object
hardship_reason,1916144,99.56917225055666,object
debt_settlement_flag_date,1895595,98.50137832662573,object
settlement_status,1895595,98.50137832662573,object
settlement_percentage,1895595,98.50137832662573,float64
settlement_date,1895595,98.50137832662573,object
settlement_amount,1895595,98.50137832662573,float64
settlement_term,1895595,98.50137832662573,float64
sec_app_mths_since_last_major_derog,1894517,98.4453618854365,float64
sec_app_revol_util,1835110,95.35837791351747,float64
sec_app_num_rev_accts,1833625,95.28121240779761,float64
sec_app_mort_acc,1833625,95.28121240779761,float64
sec_app_open_acc,1833625,95.28121240779761,float64
revol_bal_joint,1833625,95.28121240779761,float64
sec_app_earliest_cr_line,1833625,95.28121240779761,object
sec_app_open_act_il,1833625,95.28121240779761,float64
sec_app_inq_last_6mths,1833625,95.28121240779761,float64
sec_app_fico_range_high,1833625,95.28121240779761,float64
sec_app_fico_range_low,1833625,95.28121240779761,float64
sec_app_chargeoff_within_12_mths,1833625,95.28121240779761,float64
sec_app_collections_12_mths_ex_med,1833625,95.28121240779761,float64
verification_status_joint,1830563,95.12210077243451,object
dti_joint,1825593,94.86384315396467,float64
annual_inc_joint,1825589,94.86363530075062,float64
desc,1806602,93.8770080569102,object
mths_since_last_record,1624557,84.41734846851153,float64
mths_since_recent_bc_dlq,1481859,77.00228898351983,float64
mths_since_last_major_derog,1432811,74.45359287271329,float64
mths_since_recent_revol_delinq,1295787,67.33337317186603,float64
next_pymnt_d,1178081,61.216980568322654,object
il_util,1009231,52.44297676980516,float64
mths_since_last_delinq,989989,51.443098883568425,float64
mths_since_rcnt_il,885375,46.007009849644184,float64
all_util,851380,44.240517346649796,float64
inq_last_12m,851211,44.23173554835575,float64
open_acc_6m,851211,44.23173554835575,float64
total_cu_tl,851211,44.23173554835575,float64
open_il_24m,851210,44.23168358505223,float64
open_act_il,851210,44.23168358505223,float64
open_il_12m,851210,44.23168358505223,float64
open_rv_24m,851210,44.23168358505223,float64
max_bal_bc,851210,44.23168358505223,float64
inq_fi,851210,44.23168358505223,float64
total_bal_il,851210,44.23168358505223,float64
open_rv_12m,851210,44.23168358505223,float64
mths_since_recent_inq,250440,13.013689732311043,float64
emp_title,143078,7.43480554032742,object
emp_length,123898,6.438149378908614,object
num_tl_120dpd_2m,122806,6.381405451470172,float64
mo_sin_old_il_acct,114522,5.950941445151434,float64
bc_util,64037,3.3275740671937477,float64
percent_bc_gt_75,63472,3.2982148007077403,float64
bc_open_to_buy,63043,3.2759225434997803,float64
mths_since_recent_bc,61777,3.2101370012497172,float64
pct_tl_nvr_dlq,55512,2.884586904727881,float64
avg_cur_bal,55416,2.8795984275904356,float64
num_rev_accts,55358,2.8765845559865624,float64
mo_sin_rcnt_rev_tl_op,55358,2.8765845559865624,float64
mo_sin_old_rev_tl_op,55358,2.8765845559865624,float64
num_op_rev_tl,55357,2.876532592683047,float64
num_tl_op_past_12m,55357,2.876532592683047,float64
tot_coll_amt,55357,2.876532592683047,float64
num_actv_rev_tl,55357,2.876532592683047,float64
total_rev_hi_lim,55357,2.876532592683047,float64
tot_cur_bal,55357,2.876532592683047,float64
num_tl_30dpd,55357,2.876532592683047,float64
num_actv_bc_tl,55357,2.876532592683047,float64
num_accts_ever_120_pd,55357,2.876532592683047,float64
num_rev_tl_bal_gt_0,55357,2.876532592683047,float64
mo_sin_rcnt_tl,55357,2.876532592683047,float64
num_tl_90g_dpd_24m,55357,2.876532592683047,float64
tot_hi_cred_lim,55357,2.876532592683047,float64
total_il_high_credit_limit,55357,2.876532592683047,float64
num_il_tl,55357,2.876532592683047,float64
num_bc_tl,55357,2.876532592683047,float64
num_bc_sats,43671,2.269289427806083,float64
num_sats,43671,2.269289427806083,float64
total_bal_ex_mort,42561,2.2116101609043692,float64
total_bc_limit,42561,2.2116101609043692,float64
mort_acc,42561,2.2116101609043692,float64
acc_open_past_24mths,42561,2.2116101609043692,float64
title,17921,0.9312343622933485,object
last_pymnt_d,2008,0.1043423134582358,object
dti,1483,0.07706157911283053,float64
revol_util,1475,0.07664587268471006,float64
pub_rec_bankruptcies,1391,0.07228095518944522,float64
chargeoff_within_12_mths,171,0.00888572490107486,float64
collections_12_mths_ex_med,171,0.00888572490107486,float64
tax_liens,131,0.006807192760472554,float64
last_credit_pull_d,84,0.004364917495264844,object
inq_last_6mths,56,0.0029099449968432293,float64
total_acc,55,0.0028579816933281717,float64
open_acc,55,0.0028579816933281717,float64
earliest_cr_line,55,0.0028579816933281717,object
pub_rec,55,0.0028579816933281717,float64
delinq_2yrs,55,0.0028579816933281717,float64
acc_now_delinq,55,0.0028579816933281717,float64
delinq_amnt,55,0.0028579816933281717,float64
annual_inc,29,0.0015069358019366723,float64
zip_code,27,0.001403009194906557,object
revol_bal,26,0.0013510458913914994,float64
application_type,26,0.0013510458913914994,object
last_pymnt_amnt,26,0.0013510458913914994,float64
purpose,26,0.0013510458913914994,object
policy_code,26,0.0013510458913914994,float64
out_prncp,26,0.0013510458913914994,float64
initial_list_status,26,0.0013510458913914994,object
last_fico_range_high,26,0.0013510458913914994,float64
fico_range_low,26,0.0013510458913914994,float64
fico_range_high,26,0.0013510458913914994,float64
out_prncp_inv,26,0.0013510458913914994,float64
total_pymnt_inv,26,0.0013510458913914994,float64
total_pymnt,26,0.0013510458913914994,float64
collection_recovery_fee,26,0.0013510458913914994,float64
recoveries,26,0.0013510458913914994,float64
total_rec_late_fee,26,0.0013510458913914994,float64
total_rec_int,26,0.0013510458913914994,float64
total_rec_prncp,26,0.0013510458913914994,float64
hardship_flag,26,0.0013510458913914994,object
last_fico_range_low,26,0.0013510458913914994,float64
addr_state,26,0.0013510458913914994,object
disbursement_method,26,0.0013510458913914994,object
debt_settlement_flag,26,0.0013510458913914994,object
issue_d,25,0.0012990825878764418,object
loan_status,25,0.0012990825878764418,object
sub_grade,25,0.0012990825878764418,object
grade,25,0.0012990825878764418,object
pymnt_plan,25,0.0012990825878764418,object
url,25,0.0012990825878764418,object
installment,25,0.0012990825878764418,float64
funded_amnt_inv,25,0.0012990825878764418,float64
term,25,0.0012990825878764418,object
loan_amnt,25,0.0012990825878764418,float64
funded_amnt,25,0.0012990825878764418,float64
int_rate,25,0.0012990825878764418,float64
home_ownership,25,0.0012990825878764418,object
verification_status,25,0.0012990825878764418,object
